CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/28/2016,18:20,BRONX,10459,40.821415,-73.88933,"(40.821415, -73.88933)",BRUCKNER BOULEVARD              ,FAILE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3448988,4 dr sedan,4 dr sedan,,,
05/28/2016,15:00,BROOKLYN,11208,40.680016,-73.87743,"(40.680016, -73.87743)",ATLANTIC AVENUE                 ,LOGAN STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3450603,2 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,10:00,MANHATTAN,10007,40.710888,-74.00907,"(40.710888, -74.00907)",FULTON STREET                   ,BROADWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,3447528,Sedan,,,,
05/28/2016,16:40,QUEENS,11367,40.733315,-73.81485,"(40.733315, -73.81485)",,,69-20     KISSENA BOULEVARD             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3446604,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,10:20,,,40.888992,-73.8892,"(40.888992, -73.8892)",MAJOR DEEGAN EXPRESSWAY         ,,,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,Unspecified,,,3446731,Station Wagon/Sport Utility Vehicle,UNKNO,4 dr sedan,,
05/28/2016,21:55,,,40.645298,-74.10466,"(40.645298, -74.10466)",RICHMOND TERRACE                ,SNUG HARBOR ROAD,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3452596,4 dr sedan,4 dr sedan,,,
05/28/2016,1:10,,,40.651863,-73.86536,"(40.651863, -73.86536)",BELT PARKWAY                    ,,,3,0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,,,3446571,Station Wagon/Sport Utility Vehicle,4 dr sedan,4 dr sedan,,
05/28/2016,17:15,QUEENS,11103,40.771523,-73.914314,"(40.771523, -73.914314)",24 AVENUE                       ,33 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3452446,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,17:35,BROOKLYN,11212,,,,,,1610      pitkin Ave                    ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3446765,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,7:55,BRONX,10474,40.816864,-73.882744,"(40.816864, -73.882744)",,,772       EDGEWATER ROAD                ,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,3446717,Tractor Truck Diesel,,,,
05/28/2016,13:30,BROOKLYN,11224,40.57848,-73.98946,"(40.57848, -73.98946)",NEPTUNE AVENUE                  ,WEST 22 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3449649,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/28/2016,0:50,BROOKLYN,11225,40.65901,-73.96055,"(40.65901, -73.96055)",,,600       FLATBUSH AVENUE               ,2,0,0,0,0,0,2,0,Outside Car Distraction,Unspecified,Unspecified,,,3453546,4 dr sedan,2 dr sedan,Sedan,,
05/28/2016,20:00,MANHATTAN,10009,40.734974,-73.97987,"(40.734974, -73.97987)",EAST 20 STREET                  ,1 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3447923,4 dr sedan,4 dr sedan,,,
05/28/2016,15:30,BROOKLYN,11212,40.6553,-73.90318,"(40.6553, -73.90318)",LINDEN BOULEVARD                ,STONE AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3450482,4 dr sedan,Motorbike,,,
05/28/2016,8:50,MANHATTAN,10010,40.743824,-73.987915,"(40.743824, -73.987915)",,,225       5 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3446675,Taxi,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,12:39,BROOKLYN,11209,40.628647,-74.02596,"(40.628647, -74.02596)",4 AVENUE                        ,78 STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3450162,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,5:00,BROOKLYN,11234,40.61146,-73.92437,"(40.61146, -73.92437)",FLATBUSH AVENUE                 ,AVENUE T,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3449887,4 dr sedan,4 dr sedan,,,
